101912231, ROOSEVELT EL,87.72, ChIJ6ef3pIq4QIYR14sfk4UsU4k   
101912232, ROSS EL,94.50, ChIJg2CNehe5QIYRsJlPNi5CxB4   
101912233, RUCKER EL,90.66, ChIJ8begglu9QIYRN6NxSh49cm0  
101912234, BAYLOR COLLEGE OF MEDICINE BIOTECH ACADEMY AT RUSK,79.05,ChIJwa9ssN2-QIYR9ADf0zB-L2s   
101912237, SCARBOROUGH EL,94.69, ChIJB2tlVmG3QIYR-WP-_SJFMus   
101912239, SHEARN EL,94.52, ChIJA5_yVX_qQIYRcl4y8Lu-Gfg        
101912240, SHERMAN EL,95.99, ChIJpz2899W4QIYRSor8b378-0A   
101912241, SINCLAIR EL,48.58, ChIJ7e92gCLHQIYRWPvWQQqVufw   
101912242, SMITH EL,84.58, ChIJV15spBTGQIYRBIMg-uH1WBw   
101912243, THOMPSON EL,96.30, ChIJz9n_ZO7LQIYRxbUJ0pEpGj8   
101912244, SOUTHMAYD EL,94.48, ChIJJT5scb-9QIYRRLt3_pHS9vw   
101912245, STEVENS EL,93.41, ChIJZUgOAVDGQIYRW8oSD4vi2ww   
101912247, YOUNG EL,98.97, ChIJ3-aDyWeVQIYRB9H5zMqi0ic  
101912248, SUTTON EL,86.59, ChIJNaiNcGrCQIYRQ_DG6J0moKU  
101912252, WAINWRIGHT EL,92.46, ChIJmeeOG3vGQIYRWqn1Eq5edww   
101912253, WALNUT BEND EL,89.04, ChIJK0nKfLPcQIYRjqzZKinqAfg   
101912254, WESLEY EL,96.56, ChIJPccuQd_HQIYR7knEC9o4_LA   
101912256, WHARTON K-8 DUAL LANGUAGE ACADEMY,49.50, ChIJleiB0l6_QIYRtXFynUiTH2I   
101912257, WHIDBY EL,85.60, ChIJwSS6NOC_QIYRUMbRfIhtsNM   
101912258, WHITTIER EL,89.78, ChIJ_bkv56O8QIYREMEobw_m7Gw   
101912259, WILSON MONTESSORI,35.32, ChIJ3QqhS5_AQIYRopWpX1xjw00  
101912260, WINDSOR VILLAGE EL,90.89, ChIJb8JIE9rrQIYR4DnuIAhlRI4   
101912262, GRISSOM EL,97.94, ChIJc7AEvrfrQIYRPVZpjVlo9x0   
101912263, LAW EL,82.59, ChIJXT8ckeSUQIYRbs2uWZplG0Y   
101912264, MITCHELL EL,87.57, ChIJKYe3MAOVQIYRv1_kNEHeu_M   
101912265, PETERSEN EL,95.06, ChIJFRGnORDrQIYR4KDjg4KiCGc   
101912267, WHITE E EL,83.15, ChIJmefng7_CQIYRjhhY9TUh6kg   
101912268, BENBROOK EL,96.90, ChIJE9NQxdnFQIYRbveeFMO1Jag   
101912269, SCROGGINS EL,91.03, ChIJ74noTve7QIYRbgTAMUD9zkI   
101912271, FOERSTER EL,96.78, ChIJg1FcCZjpQIYRV7bj6-m0s0k   
101912273, ASHFORD EL,64.86, ChIJicU0tI7cQIYRJZsYEnAsJe0   
101912274, ASKEW EL,68.66, ChIJScJeVrvcQIYR3K8g_wfRHts   
101912276, SHADOWBRIAR EL,69.68, ChIJXVUih_TcQIYR5esT2yxng6s   
101912279, TIJERINA EL,91.69, ChIJK2aJU52-QIYRfuiUvllXusI   
101912281, SANCHEZ EL,96.03, ChIJAz7bNJS9QIYRaSUBvimU0uc   
101912283, GARCIA EL,92.55, ChIJdyi-bsy5QIYRaBX1DTrgA9Q   
101912285, VALLEY WEST EL,90.16, ChIJUcj0Pi7oQIYRqOZdO22uQjs   
101912286, HERRERA EL,98.65, ChIJn0hXJFm4QIYRqXw0LG09NMw   
101912287, CAGE EL,90.79, ChIJRzBsfPO-QIYRTm9YCNUyWuk 
101912289, MARTINEZ C EL,96.86, ChIJa9GqNqfcQIYRGXbaafaGcXw   
101912290, CRESPO EL,92.64, ChIJg3PIeZO9QIYRwKON-wf2mZc   
101912291, GALLEGOS EL,96.39, ChIJw2iVZjS8QIYRNMte8tpH-Mk   
101912292, CARRILLO EL,86.78, ChIJ9f-rWNW9QIYROAGv3-TXdo4   
101912295, BENAVIDEZ EL,98.54, ChIJ35795TPCQIYRgPe7iKJv7VM   
101912297, DAVILA EL,93.33, ChIJsVBWQrm9QIYR4HnqcXsAbAg   
101912298, MARTINEZ R EL,95.86, ChIJvxtlsgm8QIYRHxHhChZnrEw   
101912299, MILNE EL,92.97, ChIJG31uwc3pQIYRuBxXWh3u2fI   
