FIPS,State,County,PCT_DIABETES_ADULTS15,PCT_OBESE_ADULTS13,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_SNAP15,GROCPTH15,FFRPTH15
40007,OK,Beaver,13.4,38.9,38.27532441,14.05532752,1.647155388,0.182282173,0.182282173
48317,TX,Martin,8.8,27.1,21.42398762,6.876299964,0.33335655,0.183150183,0.183150183
21131,KY,Leslie,16,43.2,3.101928397,1.69669029,0.648580607,0.2747756,0.183183733
47129,TN,Morgan,12.3,30.3,18.20323775,7.97288069,4.822456662,0.184672207,0.184672207
31011,NE,Boone,9.4,31.6,18.55551783,5.547363223,0.475937076,0.747244536,0.186811134
40077,OK,Latimer,15,32.6,25.55121597,10.42748909,3.554358867,0.187038249,0.187038249
45037,SC,Edgefield,14.1,32.7,8.559178064,3.626575186,1.310475191,0.112981584,0.18830264
21045,KY,Casey,14.4,36.4,4.409284138,2.556400729,0.894506186,0.314643509,0.188786105
40105,OK,Nowata,15.1,36.4,21.08767478,8.894434594,2.813479751,0.095020905,0.190041809
05087,AR,Madison,11.8,34,24.26352701,12.04801734,3.082779705,0.254129606,0.190597205
48119,TX,Delta,11.9,28,7.210911711,2.701088838,0.726619878,0,0.190912562
31169,NE,Thayer,10.2,30.2,17.36663208,6.875683248,1.855894813,0.764818356,0.191204589
51065,VA,Fluvanna,11.1,27.6,24.83678048,2.627331147,0.328911994,0.114977771,0.191629618
19121,IA,Madison,10,34.2,16.45051045,3.262899116,0.994680379,0.128131206,0.19219681
32017,NV,Lincoln,9.5,25.9,78.09053969,32.37320649,5.839995915,0.578703704,0.192901235
08125,CO,Yuma,6.1,24.8,22.9069798,6.793964668,1.431736182,0.392079984,0.196039992
29089,MO,Howard,10,33.9,17.87813753,6.883521146,2.192854167,0.196869771,0.196869771
46077,SD,Kingsbury,10,33.8,52.24304056,14.29072409,3.21994543,0.78817734,0.197044335
12125,FL,Union,12.5,37.1,23.16919951,9.541744388,2.505445588,0,0.197498354
51077,VA,Grayson,11,30.3,18.1979917,9.356118653,2.597361307,0.06625588,0.198767641
19161,IA,Sac,10.4,33,36.09348045,11.56613886,2.709162761,0.498256104,0.199302441
21169,KY,Metcalfe,15.7,33.8,0.780070485,0.534019097,0.21716925,0.1001001,0.2002002
02070,AK,Dillingham,7.2,38,50.78418952,32.19756974,18.60862333,1.202886929,0.200481155
40011,OK,Blaine,14.2,38.4,56.33985164,17.65731542,7.178609187,0.504184733,0.201673893
17013,IL,Calhoun,11.4,29.1,11.34807162,4.298053224,1.522258188,0.605326877,0.201775626
12059,FL,Holmes,14.2,31.6,15.72389873,8.892519828,3.215662572,0.152671756,0.203562341
02185,AK,North Slope,6.5,36.5,58.55972802,13.19718346,6.762898884,0.824487272,0.206121818
45005,SC,Allendale,19.2,41.1,16.70659491,12.37513213,6.400391038,0.206291903,0.206291903
29171,MO,Putnam,11.8,31.9,26.66386845,12.20310402,2.658890167,0.414164423,0.207082212
42023,PA,Cameron,10.4,27.9,9.175307164,3.322176285,1.1124796,0.208116545,0.208116545
18087,IN,LaGrange,11.2,34.2,0.159010919,0.075408048,0.019777092,0.208138204,0.208138204
47173,TN,Union,13.8,31,2.025803368,0.729168484,0.376685352,0.0523204,0.209281641
28041,MS,Greene,13,38.5,4.423447942,1.782972815,1.068632482,0.209409465,0.209409465
48365,TX,Panola,10.9,30.7,22.14541661,6.868229156,3.161992709,0.126214818,0.210358029
20107,KS,Linn,12,31.6,13.99433441,4.354073711,1.447190321,0.315723006,0.210482004
51145,VA,Powhatan,10.7,30,9.632205168,1.573374074,0.641993897,0.140602482,0.210903722
21105,KY,Hickman,14.1,35.2,0,0,0,0.422475708,0.211237854
20087,KS,Jefferson,10,29.9,0.856351096,0.171994022,0.059876579,0.15910899,0.21214532
27089,MN,Marshall,9.7,29.7,63.38047088,15.82253128,3.371119667,0.530954656,0.212381863
19005,IA,Allamakee,9.1,33.6,8.128616843,2.162304794,0.570988514,0.498646531,0.213705656
04011,AZ,Greenlee,10.7,34.7,69.87743095,30.54644934,8.020685758,0.213995292,0.213995292
40075,OK,Kiowa,13.6,30.8,49.36618018,24.70817324,8.430876424,0.321336761,0.214224507
26119,MI,Montmorency,12.5,28.9,3.858500712,1.07858591,0.73707342,0.322580645,0.215053763
51053,VA,Dinwiddie,11.4,32.7,27.4212192,7.611135947,4.818409069,0.179475214,0.215370257
27079,MN,Le Sueur,8.4,32.4,7.137326459,1.722154236,0.348335267,0.180050414,0.216060497
28051,MS,Holmes,17.5,46.1,43.08667333,32.50635395,14.05544979,0.270870578,0.216696462
45039,SC,Fairfield,18.6,41.3,21.56995686,9.437769258,4.958340935,0.0435237,0.217618384
35033,NM,Mora,11.3,22.6,24.58790451,16.03030644,5.131951419,0.217770035,0.217770035
