Bus Distance (miles),Closest Store,Driving Distance (miles),Location,Percent in Poverty,Poverty Groups,School Name,Store Address,Walking Distance (miles),Zip Code,Food Desert
1.1,Fiesta Mart,0.9,Austin,93.54,90-100,Josephine Houston Elementary School,"5510 Interstate 35, Austin",,78758.0,No
0.7,Walmart Supercenter,0.5,Austin,97.39,90-100,Hart Elementary School,"1030 Norwood Park Boulevard, Austin",,78744.0,No
2.0,Walmart Supercenter,1.5,Austin,95.47,90-100,Pickle Elementary School,"1030 Norwood Park Boulevard, Austin",,78753.0,Yes
2.0,H-E-B,1.8,Austin,93.01,90-100,Mc Bee Elementary School,"9414 N Lamar Blvd, Austin",,78752.0,Yes
1.6,H-E-B,1.5,Austin,73.45,70-79,Williams Elementary School,"600 W William Cannon Dr, Austin",,78758.0,Yes
0.9,H-E-B,1.0,Austin,94.29,90-100,Langford Elementary School,"6607 S IH 35 Frontage Rd, Austin",,78748.0,No
1.5,H-E-B,1.4,Austin,42.68,40-49,Boone Elementary School,"6900 Brodie Ln, Austin",,78744.0,Yes
3.5,H-E-B,3.2,Austin,83.54,80-89,Palm Elementary School,"6607 S IH 35 Frontage Rd, Austin",,78749.0,Yes
1.2,H-E-B,1.1,Austin,60.95,60-69,Kocurek Elementary School,"2110 W Slaughter Ln, Austin",,78744.0,Yes
1.1,H-E-B,0.9,Austin,54.22,50-59,Casey Elementary School,"2110 W Slaughter Ln, Austin",,78748.0,No
2.0,Fiesta Mart,1.8,Austin,96.83,90-100,Rodriguez Elementary School,"5510 Interstate 35, Austin",,78748.0,Yes
2.4,Fiesta Mart,1.9,Austin,93.41,90-100,Widen Elementary School,"5510 Interstate 35, Austin",,78744.0,Yes
0.7,Supermercado Poco Loco,0.7,Austin,88.25,80-89,Galindo Elementary School,"611 West Ben White Boulevard, Austin",,78744.0,No
1.5,Fiesta Mart,1.2,Austin,80.88,80-89,Uphaus Early Childhood Center,"5510 Interstate 35, Austin",,78704.0,Yes
2.6,H-E-B,1.9,Austin,94.03,90-100,Barbara Jordan Elementary School,"7112 Ed Bluestein Blvd #125, Austin",,78744.0,Yes
5.1,H-E-B,3.9,Austin,69.76,70-79,Blazier Elementary School,"6607 S IH 35 Frontage Rd, Austin",,78724.0,Yes
0.7,H-E-B,0.6,Austin,96.27,90-100,Dr. Guerrero-Thompson Elementary School,"9414 N Lamar Blvd, Austin",,78744.0,No
1.5,H-E-B,1.5,Austin,94.62,90-100,Padrón Elementary School,"9414 N Lamar Blvd, Austin",,78753.0,Yes
3.8,H-E-B,2.8,Austin,94.68,90-100,Overton Elementary School,"7112 Ed Bluestein Blvd #125, Austin",,78758.0,Yes
2.5,H-E-B,2.6,Austin,88.01,80-89,Perez Elementary School,"6607 S IH 35 Frontage Rd, Austin",,78724.0,Yes
4.8,Walmart Supercenter,1.8,Austin,97.48,90-100,Webb Primary School,"1030 Norwood Park Boulevard, Austin",,78744.0,Yes
,Los Perez Meat Market,0.3,Laredo,100.0,,Antonio M. Bruni Elementary School,601 Park St,,,No
,Laredo Organic Foods & Vitamin,0.7,Laredo,100.0,,Christopher M. Macdonell Elementary School,611 Salinas Ave,,,No
,H-E-B,0.9,Laredo,100.0,,Clarence L. Milton Elementary School,2310 E Saunders St,,,No
,H-E-B,1.2,Laredo,100.0,,D D Hachar Elementary School,1301 Guadalupe St,,,Yes
,Heights Meat Market,0.9,Laredo,100.0,,Don Jose Gallego,3119 Tilden Ave,,,No
,Laredo Organic Foods & Vitamin,1.6,Laredo,100.0,,Dovalina Elementary School,611 Salinas Ave,,,Yes
,H-E-B,8.0,Laredo,100.0,,Francisco Farias Elementary School,4801 San Dario Ave,,,Yes
,H-E-B,0.2,Laredo,100.0,,Heights Elementary School,1301 Guadalupe St,,,No
,H-E-B,1.0,Laredo,100.0,,Henry B. Zachry Elementary School,2314 S Zapata Hwy,,,No
,H-E-B,1.1,Laredo,100.0,,Honore Ligarde Elementary School,2314 S Zapata Hwy,,,Yes
,Los Perez Meat Market,0.9,Laredo,100.0,,"J C Martin, Jr. Elementary School",601 Park St,,,No
,Los Perez Meat Market,0.7,Laredo,100.0,,J Z Leyendecker Elementary,601 Park St,,,No
,H-E-B,0.5,Laredo,100.0,,Kawas Elementary School,2314 S Zapata Hwy,,,No
,H-E-B,0.8,Laredo,100.0,,Leon Daiches Elementary School,1301 Guadalupe St,,,No
,H-E-B,1.9,Laredo,100.0,,Michael S. Ryan Elementary School,1301 Guadalupe St,,,Yes
,Heights Meat Market,0.9,Laredo,100.0,,Pierce Elementary School,3119 Tilden Ave,,,No
,Heights Meat Market,0.6,Laredo,100.0,,Sanchez Elementary School,3119 Tilden Ave,,,No
,H-E-B,7.7,Laredo,100.0,,Santa Maria Elementary School,4801 San Dario Ave,,,Yes
,H-E-B,1.0,Laredo,100.0,,Santo Nino Elementary School,2314 S Zapata Hwy,,,No
,Heights Meat Market,0.06,Laredo,100.0,,Tarver Elementary School,3119 Tilden Ave,,,No
